iter	Passed	Remaining
873	19452	2804
874	19487	2783
875	19517	2762
876	19538	2740
877	19573	2719
878	19619	2700
879	19645	2678
880	19668	2656
881	19694	2634
882	19721	2613
883	19751	2591
884	19778	2570
885	19798	2547
886	19822	2525
887	19850	2503
888	19867	2480
889	19891	2458
890	19913	2436
891	19932	2413
892	19961	2391
893	19984	2369
894	20008	2347
895	20027	2324
896	20083	2306
897	20102	2283
898	20121	2260
899	20186	2242
900	20296	2230
901	20336	2209
902	20373	2188
903	20403	2166
904	20431	2144
905	20471	2123
906	20519	2103
907	20540	2081
908	20555	2057
909	20573	2034
910	20606	2013
911	20626	1990
912	20650	1967
913	20679	1945
914	20708	1923
915	20763	1904
916	20797	1882
917	20820	1859
918	20840	1836
919	20857	1813
920	20875	1790
921	20893	1767
922	20909	1744
923	20925	1721
924	20942	1698
925	20958	1674
926	21001	1653
927	21020	1630
928	21039	1607
929	21055	1584
930	21073	1561
931	21091	1538
932	21107	1515
933	21123	1492
934	21139	1469
935	21156	1446
936	21174	1423
937	21196	1401
938	21212	1378
939	21258	1356
940	21275	1333
941	21292	1310
942	21310	1288
943	21336	1265
944	21360	1243
945	21384	1220
946	21409	1198
947	21442	1176
948	21526	1156
949	21560	1134
950	21637	1114
951	21705	1094
952	21759	1073
953	21824	1052
954	21866	1030
955	21913	1008
956	22009	988
957	22070	967
958	22140	946
959	22241	926
960	22306	905
961	22384	884
962	22438	862
963	22540	841
964	22586	819
965	22639	796
966	22691	774
967	22791	753
968	22834	730
969	22867	707
970	22893	683
971	22916	660
972	22938	636
973	22976	613
974	22993	589
975	23009	565
976	23026	542
977	23040	518
978	23056	494
979	23072	470
980	23092	447
981	23106	423
982	23122	399
983	23138	376
984	23162	352
985	23187	329
986	23263	306
987	23283	282
988	23302	259
989	23330	235
990	23350	212
991	23366	188
992	23383	164
993	23400	141
994	23418	117
995	23435	94
996	23468	70
997	23493	47
998	23514	23
999	23533	0
